Filing.Date	Trade.Date	Ticker	Company Name	Insider.Name	Title	Trade.Type	Price	Qty	Owned	ΔOwn	Value	totalValue	Filing.Time	DaysToFile
2024-06-14	2024-06-12	CTRN	Citi Trends Inc	Fund 1 Investments, LLC	10%	P - Purchase	21.74	75015	2,309,296	+3%	+$1,631,027	1630826.1	17:14:48	2
2024-06-14	2024-06-13	OPOF	Old Point Financial Corp	Pl Capital Advisors, LLC	10%	P - Purchase	14.8	83169	720,861	+13%	+$1,230,810	1230901.2	16:32:10	1
2024-06-14	2024-06-13	PROK	Prokidney Corp.	Legorreta Pablo G.	Dir, 10%	P - Purchase	2.42	22617909	22,617,909	New	+$54,735,340	54735339.78	16:05:17	1
2024-06-14	2024-06-14	FOUR	Shift4 Payments, Inc.	Isaacman Jared	COB, CEO, 10%	P - Purchase	69.4	14486	666,117	+2%	+$1,005,310	1005328.4	16:05:04	0
2024-06-14	2024-06-12	PBF	Pbf Energy Inc.	Control Empresarial De Capitales S.A. De C.V.	Add'l Rep. Persons-see Ex.99-1, 10%	P - Purchase	44.26	521400	15,404,098	+4%	+$23,075,058	23077164	16:01:09	2
2024-06-14	2024-06-13	RHP	Ryman Hospitality Properties, Inc.	Haslam William E	Dir	P - Purchase	100.28	9972	22,790	+78%	+$999,989	999992.16	14:40:26	1
2024-06-14	2024-06-12	NRDY	Nerdy Inc.	Cohn Charles K.	CEO, 10%	P - Purchase	1.8	5e+05	22,058,261	+2%	+$900,000	9e+05	08:44:43	2
2024-06-13	2024-06-11	ACRS	Aclaris Therapeutics, Inc.	Leonard Braden Michael	10%	P - Purchase	1.11	1611200	11,007,134	+17%	+$1,781,897	1788432	18:04:27	2
2024-06-13	2024-06-11	PEGA	Pegasystems Inc	Rowlands Sharon T	Dir	P - Purchase	58.63	8600	30,871	+39%	+$504,218	504218	17:06:30	2
2024-06-13	2024-06-11	NRDY	Nerdy Inc.	Cohn Charles K.	CEO, 10%	P - Purchase	1.68	569976	21,558,261	+3%	+$957,560	957559.68	14:23:16	2
2024-06-13	2024-06-11	PYYX	Pyxus International, Inc.	Glendon Capital Management LP	Dir, 10%	P - Purchase	2.8	376456	8,315,159	+5%	+$1,054,077	1054076.8	12:27:07	2
2024-06-12	2024-06-10	OXY	Occidental Petroleum Corp /De/	Berkshire Hathaway Inc	10%	P - Purchase	60.3	1750308	252,418,810	+1%	+$105,550,532	105543572.4	20:41:29	2
2024-06-12	2024-06-10	KRON	Kronos Bio, Inc.	Bischofberger Norbert W	Pres, CEO	P - Purchase	1.04	3005122	11,241,620	+36%	+$3,119,081	3125326.88	19:23:55	2
2024-06-12	2024-06-10	NRDY	Nerdy Inc.	Cohn Charles K.	CEO, 10%	P - Purchase	1.59	353000	20,988,285	+2%	+$561,270	561270	19:02:04	2
2024-06-12	2024-06-10	GLP	Global Partners LP	Global Gp LLC	General Partner	P - Purchase	50.23	10000	167,981	+6%	+$502,300	502300	17:26:25	2
2024-06-12	2024-06-10	PEB	Pebblebrook Hotel Trust	Bortz Jon E	COB, CEO	P - Purchase	13.59	45000	1,453,284	+3%	+$611,420	611550	16:34:42	2
2024-06-12	2024-06-10	TLS	Telos Corp	Schaufeld Fredrick	Dir	P - Purchase	4.01	283566	2,219,072	+15%	+$1,135,712	1137099.66	16:22:13	2
2024-06-11	2024-06-07	Z	Zillow Group, Inc.	Hoag Jay C	Dir	P - Purchase	42.76	2338036	8,187,864	+40%	+$99,966,743	99974419.36	21:59:08	4
2024-06-11	2024-06-07	UHG	United Homes Group, Inc.	Nieri Pennington W.	Co-EVP - Construction, 10%	P - Purchase	5	1403019	1,486,351	>999%	+$7,015,095	7015095	21:19:01	4
2024-06-11	2024-06-07	UHG	United Homes Group, Inc.	Nieri Patrick Michael	10%	P - Purchase	5	278149	361,481	+334%	+$1,390,745	1390745	21:05:08	4
2024-06-11	2024-06-07	UHG	United Homes Group, Inc.	Lincks Maigan Nieri	10%	P - Purchase	5	278150	361,482	+334%	+$1,390,750	1390750	20:41:54	4
2024-06-11	2024-06-10	UHG	United Homes Group, Inc.	Nieri Michael P.	COB, CEO, 10%	P - Purchase	5	621328	621,328	New	+$3,106,640	3106640	20:20:51	1
2024-06-11	2024-06-07	PBF	Pbf Energy Inc.	Control Empresarial De Capitales S.A. De C.V.	Add'l Rep. Persons-see Ex.99-1, 10%	P - Purchase	46.12	58500	14,882,698	0%	+$2,697,825	2698020	16:53:59	4
2024-06-11	2024-06-07	GBDC	Golub Capital Bdc, Inc.	Golub Lawrence E	COB	P - Purchase	16.03	512267	7,592,172	+7%	+$8,213,508	8211640.01	16:53:42	4
2024-06-11	2024-06-07	GBDC	Golub Capital Bdc, Inc.	Golub David	CEO	P - Purchase	16.03	512267	7,368,213	+7%	+$8,213,508	8211640.01	16:52:08	4
2024-06-11	2024-06-11	CCOI	Cogent Communications Holdings, Inc.	Montagner Marc	Dir	P - Purchase	52.61	10000	79,468	+14%	+$526,130	526100	16:38:54	0
2024-06-11	2024-06-07	NSA	National Storage Affiliates Trust	Meisinger Chad Leroy	Dir	P - Purchase	37.74	18405	114,155	+19%	+$694,605	694604.7	16:05:18	4
2024-06-11	2024-06-10	BNED	Barnes & Noble Education, Inc.	Wallace Rory	Dir	P - Purchase	0.05	202480772	207,625,329	>999%	+$10,124,039	10124038.6	16:00:28	1
2024-06-11	2024-06-10	DEI	Douglas Emmett Inc	Simon William E Jr	Dir	P - Purchase	13.15	45000	45,000	New	+$591,800	591750	13:53:10	1
2024-06-10	2024-06-10	RAPP	Rapport Therapeutics, Inc.	Healy James	Dir	P - Purchase	17	558824	1,951,562	+40%	+$9,500,008	9500008	19:38:44	0
2024-06-10	2024-06-06	MCFT	Mastercraft Boat Holdings, Inc.	Coliseum Capital Management, LLC	10%	P - Purchase	20.39	124451	6,121,941	+2%	+$2,537,586	2537555.89	19:25:00	4
2024-06-10	2024-06-10	VFC	V F Corp	Darrell Bracken	Pres, Chief Exec Officer	P - Purchase	13.26	75200	219,972	+52%	+$997,408	997152	18:24:01	0
2024-06-10	2024-06-06	TTSH	Tile Shop Holdings, Inc.	Fund 1 Investments, LLC	10%	P - Purchase	6.6	109194	7,527,642	+1%	+$720,450	720680.4	17:47:53	4
2024-06-10	2024-06-07	SNOW	Snowflake Inc.	Speiser Michael L	Dir	P - Purchase	131.09	76200	2,440,663	+3%	+$9,989,012	9989058	16:54:26	3
2024-06-10	2024-06-07	SNV	Synovus Financial Corp	Akins D Wayne Jr	EVP, Chief Comm Banking Office	P - Purchase	37.4	24500	45,141	+119%	+$916,300	916300	16:32:18	3
2024-06-07	2024-06-05	OXY	Occidental Petroleum Corp /De/	Berkshire Hathaway Inc	10%	P - Purchase	59.75	2565477	250,668,502	+1%	+$153,292,504	153287250.75	21:09:08	2
2024-06-07	2024-06-05	BOC	Boston Omaha Corp	Peterson Adam K	CEO, 10%	P - Purchase	14.17	42900	6,735,818	+1%	+$607,849	607893	18:15:54	2
2024-06-07	2024-06-05	INBX	Inhibrx Biosciences, Inc.	Kayyem Jon Faiz	Dir	P - Purchase	17.32	57549	1,150,410	+5%	+$997,024	996748.68	18:05:13	2
2024-06-07	2024-06-05	CTRN	Citi Trends Inc	Fund 1 Investments, LLC	10%	P - Purchase	22.79	54335	2,205,862	+3%	+$1,238,429	1238294.65	16:54:07	2
2024-06-07	2024-06-05	PBF	Pbf Energy Inc.	Control Empresarial De Capitales S.A. De C.V.	Add'l Rep. Persons-see Ex.99-1, 10%	P - Purchase	45.37	2e+05	14,824,198	+1%	+$9,073,080	9074000	16:05:13	2
2024-06-06	2024-06-04	RSVR	Reservoir Media, Inc.	Khosrowshahi Hassan	10%	P - Purchase	8.01	350000	28,776,573	+1%	+$2,804,905	2803500	19:18:10	2
2024-06-06	2024-06-05	AFCG	Afc Gamma, Inc.	Tannenbaum Leonard M	Exec COB; CIO, 10%	P - Purchase	12.01	88835	4,028,568	+2%	+$1,066,790	1066908.35	16:42:31	1
2024-06-06	2024-06-06	FOUR	Shift4 Payments, Inc.	Isaacman Jared	COB, CEO, 10%	P - Purchase	69.23	29669	651,631	+5%	+$2,053,931	2053984.87	16:15:03	0
2024-06-05	2024-06-03	WGS	Genedx Holdings Corp.	Casdin Capital, LLC	Dir, 10%	P - Purchase	21.21	130000	3,862,697	+3%	+$2,757,117	2757300	20:45:06	2
2024-06-05	2024-06-03	CPSI	Trubridge, Inc.	Pinetree Capital Ltd.	10%	P - Purchase	9.47	72568	2,616,414	+3%	+$687,386	687218.96	18:12:36	2
2024-06-05	2024-06-03	PBF	Pbf Energy Inc.	Control Empresarial De Capitales S.A. De C.V.	Add'l Rep. Persons-see Ex.99-1, 10%	P - Purchase	45.17	279000	14,624,198	+2%	+$12,603,768	12602430	17:25:10	2
2024-06-05	2024-06-04	HQL	Abrdn Life Sciences Investors	Saba Capital Management, L.P.	10%	P - Purchase	13.61	59440	3,380,108	+2%	+$809,222	808978.4	17:09:17	1
2024-06-05	2024-05-30	NSC	Norfolk Southern Corp	Kelleher Thomas Colm	Dir	P - Purchase	219.96	2282	2,282	New	+$501,958	501948.72	16:53:13	6
2024-06-04	2024-05-31	INBX	Inhibrx Biosciences, Inc.	Kayyem Jon Faiz	Dir	P - Purchase	17.18	286786	1,092,861	+36%	+$4,927,580	4926983.48	17:27:32	4
2024-06-04	2024-05-31	CTRN	Citi Trends Inc	Fund 1 Investments, LLC	10%	P - Purchase	24.69	32508	2,151,527	+2%	+$802,618	802622.52	17:23:10	4
2024-06-03	2024-05-30	CRGX	Cargo Therapeutics, Inc.	Samsara Biocapital Gp, LLC	10%	P - Purchase	17	294000	4,415,689	+7%	+$4,998,000	4998000	21:45:28	4
2024-06-03	2024-05-31	LTH	Life Time Group Holdings, Inc.	Akradi Bahram	Founder, CEO, 10%	P - Purchase	16.76	39000	13,819,073	0%	+$653,507	653640	13:42:57	3
2024-06-03	2024-06-03	XHFIX	Hartford Schroders Private Opportunities Fund	Schroder Us Holdings Inc.	10%	P - Purchase	10.72	93250	1,089,525	+9%	+$999,640	999640	12:07:20	0
2024-05-31	2024-05-23	TALO	Talos Energy Inc.	Control Empresarial De Capitales S.A. De C.V.	Add'l Rep. Persons-see Ex.99-1, 10%	P - Purchase	11.46	1750000	37,672,904	+5%	+$20,052,760	20055000	18:15:17	8
2024-05-31	2024-05-30	STEP	Stepstone Group Inc.	Hoffmeister David F	Dir	P - Purchase	44.29	22500	45,853	+96%	+$996,525	996525	17:52:16	1
2024-05-31	2024-05-29	WGS	Genedx Holdings Corp.	Casdin Capital, LLC	Dir, 10%	P - Purchase	21.07	40000	3,732,697	+1%	+$842,604	842800	17:37:30	2
2024-05-31	2024-05-31	TLS	Telos Corp	Schaufeld Fredrick	Dir	P - Purchase	4.47	119295	1,935,506	+7%	+$533,249	533248.65	16:40:03	0
2024-05-31	2024-05-29	EVBN	Evans Bancorp Inc	Pl Capital Advisors, LLC	10%	P - Purchase	25.81	20446	597,079	+4%	+$527,777	527711.26	16:19:57	2
2024-05-31	2024-05-29	PENN	Penn Entertainment, Inc.	Handler David A	Dir	P - Purchase	14.94	40000	303,450	+15%	+$597,600	597600	16:18:26	2
2024-05-31	2024-05-29	NSC	Norfolk Southern Corp	Mongeau Claude	Dir	P - Purchase	221	5650	20,000	+39%	+$1,248,650	1248650	16:07:43	2
2024-05-31	2024-05-30	NSC	Norfolk Southern Corp	Huffard John C Jr	Dir	P - Purchase	219.92	3398	3,466	>999%	+$747,288	747288.16	15:31:56	1
2024-05-31	2024-05-28	MEGI	Mainstay Cbre Global Infrastructure Megatrends Term Fund	Saba Capital Management, L.P.	10%	P - Purchase	12.72	47527	5,704,310	+1%	+$604,304	604543.44	15:12:58	3
2024-05-31	2024-05-28	HQL	Abrdn Life Sciences Investors	Saba Capital Management, L.P.	10%	P - Purchase	13.14	47416	3,299,299	+1%	+$623,176	623046.24	15:08:21	3
2024-05-31	2024-05-30	BHVN	Biohaven Ltd.	Childs John W	Dir	P - Purchase	35.58	28000	6,432,244	0%	+$996,240	996240	09:04:05	1
2024-05-30	2024-05-28	EXEL	Exelixis, Inc.	Johnson David Edward	Dir	P - Purchase	20.55	425000	1,543,906	+38%	+$8,733,955	8733750	19:50:14	2
2024-05-30	2024-05-29	GLP	Global Partners LP	Global Gp LLC	General Partner	P - Purchase	46.42	20000	147,981	+16%	+$928,300	928400	18:53:35	1
2024-05-30	2024-05-28	ACDC	Profrac Holding Corp.	Thrc Holdings, LP	10%	P - Purchase	9.39	1e+06	76,200,545	+1%	+$9,394,837	9390000	17:46:13	2
2024-05-30	2024-05-28	TLS	Telos Corp	Schaufeld Fredrick	Dir	P - Purchase	4.42	253366	1,816,211	+16%	+$1,119,267	1119877.72	16:44:34	2
2024-05-30	2024-05-30	FTAI	Ftai Aviation Ltd.	Adams Joseph P. Jr.	CEO, COB	P - Purchase	82	59000	384,998	+18%	+$4,838,000	4838000	16:30:59	0
2024-05-30	2024-05-29	VCRDX	Versus Capital Infrastructure Income Fund	Quam Mark Donovan	CEO	P - Purchase	10.18	73672	73,672	New	+$749,985	749980.96	12:51:43	1
2024-05-29	2024-05-24	CMTG	Claros Mortgage Trust, Inc.	Mack Richard	CEO, COB	P - Purchase	7.2	160000	2,551,853	+7%	+$1,151,880	1152000	20:49:16	5
2024-05-29	2024-05-29	WOOF	Petco Health & Wellness Company, Inc.	Breitner Cameron	Dir	P - Purchase	3.14	750000	750,000	New	+$2,354,325	2355000	19:35:36	0
2024-05-29	2024-05-28	BOW	Bowhead Specialty Holdings Inc.	Sills Stephen Jay	CEO, Pres	P - Purchase	17	58824	180,588	+48%	+$1,000,008	1000008	18:00:53	1
2024-05-29	2024-05-28	BOW	Bowhead Specialty Holdings Inc.	Newman David John	Chief Underwriting Officer	P - Purchase	20.36	26815	49,344	+119%	+$546,050	545953.4	18:00:41	1
2024-05-29	2024-05-24	VSTS	Vestis Corp	Pertz Douglas A	Dir	P - Purchase	11.88	76910	218,046	+54%	+$913,761	913690.8	17:47:31	5
2024-05-29	2024-05-28	VCRDX	Versus Capital Infrastructure Income Fund	Frazier Casey Ryan	Chief Investment Officer	P - Purchase	10.18	73672	73,672	New	+$749,985	749980.96	17:10:27	1
2024-05-29	2024-05-24	MNKTQ	Mallinckrodt Plc	Goldentree Asset Management LP	10%	P - Purchase	50	165000	3,039,035	+6%	+$8,250,000	8250000	16:33:21	5
2024-05-29	2024-05-28	EVBN	Evans Bancorp Inc	Pl Capital Advisors, LLC	10%	P - Purchase	26.12	21061	576,633	+4%	+$550,185	550113.32	16:24:25	1
2024-05-29	2024-05-28	OXLC	Oxford Lane Capital Corp.	Rosenthal Saul B	Pres	P - Purchase	5.4	4630000	4,829,887	>999%	+$25,002,000	25002000	08:01:19	1
2024-05-29	2024-05-28	OXLC	Oxford Lane Capital Corp.	Cohen Jonathan H	CEO	P - Purchase	5.4	4630000	4,864,728	>999%	+$25,002,000	25002000	08:00:54	1
2024-05-28	2024-05-23	WGS	Genedx Holdings Corp.	Casdin Capital, LLC	Dir, 10%	P - Purchase	20.15	170000	3,692,697	+5%	+$3,424,989	3425500	20:40:42	5
2024-05-28	2024-05-23	MCFT	Mastercraft Boat Holdings, Inc.	Coliseum Capital Management, LLC	10%	P - Purchase	20.27	83982	2,949,522	+3%	+$1,702,315	1702315.14	19:47:44	5
2024-05-28	2024-05-23	COOK	Traeger, Inc.	Andrus Jeremy	CEO	P - Purchase	2.21	226684	16,477,481	+1%	+$500,428	500971.64	18:58:49	5
2024-05-28	2024-05-24	OABI	Omniab, Inc.	Foehr Matthew W	Pres, CEO	P - Purchase	4.42	240000	3,536,665	+7%	+$1,059,840	1060800	17:55:57	4
2024-05-28	2024-05-28	TITN	Titan Machinery Inc.	Meyer David Joseph	Dir	P - Purchase	18.12	55000	1,917,864	+3%	+$996,600	996600	17:12:32	0
2024-05-28	2024-05-23	GLP	Global Partners LP	Global Gp LLC	General Partner	P - Purchase	44.72	30000	127,981	+31%	+$1,341,700	1341600	17:07:32	5
2024-05-28	2024-05-23	ACDC	Profrac Holding Corp.	Thrc Holdings, LP	10%	P - Purchase	9.41	460000	75,200,545	+1%	+$4,327,219	4328600	16:50:26	5
2024-05-28	2024-05-23	ADC	Agree Realty Corp	Rakolta John Jr	Dir	P - Purchase	59.32	20000	436,011	+5%	+$1,186,400	1186400	06:30:09	5
2024-05-24	2024-05-24	VSTS	Vestis Corp	Corvex Management LP	10%	P - Purchase	12.02	1e+05	17,007,877	+1%	+$1,202,000	1202000	18:34:49	0
2024-05-24	2024-05-22	NE	Noble Corp Plc	Apmh Invest A/S	10%	P - Purchase	46.45	192156	28,082,685	+1%	+$8,925,185	8925646.2	16:31:09	2
2024-05-24	2024-05-23	LUXH	Luxurban Hotels Inc.	Ferdinand Brian	Dir, 10%	P - Purchase	0.25	6e+06	14,626,377	+70%	+$1,500,000	1500000	16:24:53	1
2024-05-24	2024-05-23	IART	Integra Lifesciences Holdings Corp	Essig Stuart	Exec. COB	P - Purchase	28.49	52641	1,753,434	+3%	+$1,499,979	1499742.09	16:08:19	1
2024-05-23	2024-05-21	AFB	Alliancebernstein National Municipal Income Fund	Saba Capital Management, L.P.	10%	P - Purchase	10.89	61282	3,100,896	+2%	+$667,111	667360.98	19:39:27	2
2024-05-23	2024-05-23	FOUR	Shift4 Payments, Inc.	Isaacman Jared	COB, CEO, 10%	P - Purchase	64.04	39135	621,962	+7%	+$2,506,108	2506205.4	19:08:59	0
2024-05-23	2024-05-23	VSTS	Vestis Corp	Corvex Management LP	10%	P - Purchase	12.17	1e+05	16,907,877	+1%	+$1,217,000	1217000	18:43:29	0
2024-05-23	2024-05-21	CTRN	Citi Trends Inc	Fund 1 Investments, LLC	10%	P - Purchase	22.27	50406	2,119,019	+2%	+$1,122,748	1122541.62	17:33:33	2
2024-05-23	2024-05-21	PRVA	Privia Health Group, Inc.	Boehler Adam	Dir	P - Purchase	16.25	552436	5,763,572	+11%	+$8,978,460	8977085	17:05:03	2
2024-05-23	2024-05-22	KBDC	Kayne Anderson Bdc, Inc.	Robo James L	Dir	P - Purchase	16.63	60132	1,573,469	+4%	+$999,995	999995.16	16:42:25	1
2024-05-23	2024-05-22	BOC	Boston Omaha Corp	Kenan Frank H. II	Dir	P - Purchase	14.32	109528	273,944	+67%	+$1,567,893	1568440.96	16:03:46	1
2024-05-23	2024-05-21	ACDC	Profrac Holding Corp.	Thrc Holdings, LP	10%	P - Purchase	9.45	856070	74,740,545	+1%	+$8,085,879	8089861.5	15:36:20	2
2024-05-23	2024-05-22	CADEX	Cion Ares Diversified Credit Fund	Thrivent Financial For Lutherans	10%	P - Purchase	25	8e+05	3,400,000	+31%	+$20,000,000	2e+07	10:49:54	1
2024-05-22	2024-05-20	SOC	Sable Offshore Corp.	Flores James C	COB, CEO, 10%	P - Purchase	13.74	1e+05	10,588,750	+1%	+$1,374,150	1374000	20:36:41	2
2024-05-22	2024-05-20	MCFT	Mastercraft Boat Holdings, Inc.	Coliseum Capital Management, LLC	10%	P - Purchase	20.87	347804	5,488,276	+7%	+$7,257,188	7258669.48	19:59:14	2
2024-05-22	2024-05-20	LAB	Standard Biotools Inc.	Casdin Partners Master Fund, L.P.	Dir, 10%	P - Purchase	2.57	6e+05	71,511,233	+1%	+$1,541,795	1542000	19:53:19	2
2024-05-22	2024-05-20	TLS	Telos Corp	Schaufeld Fredrick	Dir	P - Purchase	3.96	247005	1,508,195	+20%	+$979,066	978139.8	17:25:08	2
2024-05-22	2024-05-21	GLP	Global Partners LP	Global Gp LLC	General Partner	P - Purchase	44.43	20000	97,981	+26%	+$888,600	888600	17:13:48	1
2024-05-22	2024-05-20	TTSH	Tile Shop Holdings, Inc.	Fund 1 Investments, LLC	10%	P - Purchase	6.26	150775	7,292,429	+2%	+$944,435	943851.5	17:05:06	2
2024-05-22	2024-05-20	SOC	Sable Offshore Corp.	Flores James Caldwell	COB, CEO, 10%	P - Purchase	13.74	1e+05	10,588,750	+1%	+$1,374,150	1374000	16:30:13	2
2024-05-22	2024-05-21	HIMS	Hims & Hers Health, Inc.	Payne Christopher D	Dir	P - Purchase	17.74	110000	110,000	New	+$1,951,763	1951400	16:16:26	1
2024-05-22	2024-05-21	IART	Integra Lifesciences Holdings Corp	Hill Barbara B	Dir	P - Purchase	27.4	36350	136,672	+36%	+$995,816	995990	16:09:18	1
2024-05-21	2024-05-21	VSTS	Vestis Corp	Corvex Management LP	10%	P - Purchase	12.5	1e+05	16,807,877	+1%	+$1,250,000	1250000	19:28:39	0
2024-05-21	2024-05-21	SNV	Synovus Financial Corp	Gregory Andrew J. Jr.	EVP, CFO	P - Purchase	40.03	28000	49,256	+132%	+$1,120,700	1120840	16:29:18	0
2024-05-21	2024-05-20	IMNM	Immunome Inc.	Siegall Clay B	Pres, CEO	P - Purchase	13.88	1e+05	419,636	+31%	+$1,388,072	1388000	16:13:38	1
2024-05-21	2024-05-20	AFB	Alliancebernstein National Municipal Income Fund	Saba Capital Management, L.P.	10%	P - Purchase	10.9	67460	3,039,614	+2%	+$735,314	735314	14:17:31	1
2024-05-20	2024-05-16	ALLO	Allogene Therapeutics, Inc.	Belldegrun Arie	Dir	P - Purchase	2.9	1724137	10,099,279	+21%	+$4,999,997	4999997.3	21:33:32	4
2024-05-20	2024-05-20	VSTS	Vestis Corp	Corvex Management LP	10%	P - Purchase	12.59	116044	16,707,877	+1%	+$1,460,994	1460993.96	19:58:42	0
2024-05-20	2024-05-20	NKLA	Nikola Corp	Girsky Stephen J	CEO	P - Purchase	0.54	1e+06	7,243,005	+16%	+$540,000	540000	19:27:24	0
2024-05-20	2024-05-16	GLP	Global Partners LP	Global Gp LLC	General Partner	P - Purchase	44.19	30000	77,981	+63%	+$1,325,700	1325700	19:22:41	4
2024-05-20	2024-05-17	EAF	Graftech International Ltd	Colonial House Capital Ltd	10%	P - Purchase	1.72	332770	31,358,061	+1%	+$572,897	572364.4	17:54:01	3
2024-05-20	2024-05-16	CTRN	Citi Trends Inc	Fund 1 Investments, LLC	10%	P - Purchase	22.85	41450	2,068,613	+2%	+$946,940	947132.5	17:09:10	4
2024-05-20	2024-05-17	TMCI	Treace Medical Concepts, Inc.	Treace John T.	CEO, 10%	P - Purchase	5.56	1e+05	11,667,224	+1%	+$556,170	556000	16:30:11	3
2024-05-20	2024-05-14	BCTX	Briacell Therapeutics Corp.	Lustig Marc	Dir, 10%	P - Purchase	2.22	902935	2,542,935	+55%	+$2,000,001	2004515.7	16:00:14	6
2024-05-17	2024-05-15	LAB	Standard Biotools Inc.	Casdin Partners Master Fund, L.P.	Dir, 10%	P - Purchase	2.56	1352072	70,911,233	+2%	+$3,455,544	3461304.32	20:11:59	2
2024-05-17	2024-05-15	RIG	Transocean Ltd.	Perestroika (Cyprus) Ltd	Dir, 10%	P - Purchase	6.01	2e+06	87,574,894	+2%	+$12,020,000	12020000	17:44:55	2
2024-05-17	2024-05-15	RIG	Transocean Ltd.	Perestroika	Dir, 10%	P - Purchase	6.01	2e+06	87,574,894	+2%	+$12,020,000	12020000	17:43:41	2
2024-05-17	2024-05-15	RIG	Transocean Ltd.	Mohn Frederik Wilhelm	Dir, 10%	P - Purchase	6.01	2e+06	87,597,042	+2%	+$12,020,000	12020000	17:42:45	2
2024-05-17	2024-05-15	AFB	Alliancebernstein National Municipal Income Fund	Saba Capital Management, L.P.	10%	P - Purchase	10.91	54893	2,972,154	+2%	+$598,994	598882.63	12:32:26	2
2024-05-16	2024-05-14	IZEA	Izea Worldwide, Inc.	Gp Investments, Ltd.	10%	P - Purchase	3.13	1106444	3,002,036	+58%	+$3,463,939	3463169.72	20:45:30	2
2024-05-16	2024-05-16	LNKB	Linkbancorp, Inc.	Parmer George	Dir	P - Purchase	8.5	225000	1,814,313	+14%	+$1,912,500	1912500	17:21:10	0
2024-05-16	2024-05-16	LNKB	Linkbancorp, Inc.	Parmer George	Dir	P - Purchase	8.5	225000	1,814,313	+14%	+$1,912,500	1912500	17:20:28	0
2024-05-16	2024-05-15	DNA	Ginkgo Bioworks Holdings, Inc.	Sankar Shyam	Dir	P - Purchase	0.82	625000	2,356,874	+36%	+$514,750	512500	17:08:50	1
2024-05-16	2024-05-14	RPHM	Reneo Pharmaceuticals, Inc.	Leonard Braden Michael	10%	P - Purchase	1.54	414281	3,692,963	+13%	+$639,578	637992.74	08:58:26	2
2024-05-15	2024-05-13	RRR	Red Rock Resorts, Inc.	Fertitta Lorenzo J	VP, 10%	P - Purchase	50.39	8e+05	47,447,301	+2%	+$40,312,000	40312000	20:27:49	2
2024-05-15	2024-05-14	PSA	Public Storage	Pipes Kristy	Dir	P - Purchase	278.96	2149	2,149	New	+$599,485	599485.04	19:44:57	1
2024-05-15	2024-05-15	HUMA	Humacyte, Inc.	Binder Gordon M	Dir	P - Purchase	6.68	1e+05	210,000	+91%	+$667,500	668000	19:24:07	0
2024-05-15	2024-05-13	WGS	Genedx Holdings Corp.	Casdin Capital, LLC	Dir, 10%	P - Purchase	23.31	50000	3,522,697	+1%	+$1,165,295	1165500	18:16:34	2
2024-05-15	2024-05-13	GLP	Global Partners LP	Global Gp LLC	General Partner	P - Purchase	42.46	30000	47,981	+167%	+$1,273,800	1273800	17:30:28	2
2024-05-15	2024-05-13	NN	Nextnav Inc.	Subin Neil S	Dir	P - Purchase	7.6	150000	4,344,568	+4%	+$1,140,269	1140000	17:20:09	2
2024-05-15	2024-05-13	CTRN	Citi Trends Inc	Fund 1 Investments, LLC	10%	P - Purchase	23.96	25266	2,027,163	+1%	+$605,433	605373.36	17:03:42	2
2024-05-15	2024-05-13	WBD	Warner Bros. Discovery, Inc.	Zeiler Gerhard	Pres, International	P - Purchase	8.3	1e+05	908,130	+12%	+$830,000	830000	16:02:00	2
2024-05-15	2024-05-13	AVRO	Avrobio, Inc.	Leonard Braden Michael	10%	P - Purchase	1.27	766635	5,168,262	+17%	+$971,493	973626.45	11:21:34	2
2024-05-15	2024-05-13	BHVN	Biohaven Ltd.	Bailey Gregory	Dir	P - Purchase	34.19	15000	1,615,071	+1%	+$512,877	512850	07:31:29	2
2024-05-14	2024-05-10	ISDR	Issuer Direct Corp	Topline Capital Partners, LP	10%	P - Purchase	9.94	51089	607,140	+9%	+$507,599	507824.66	20:36:41	4
2024-05-14	2024-05-10	FNWB	First Northwest Bancorp	Behar Dana D.	Dir	P - Purchase	10.5	80000	135,467	+144%	+$840,000	840000	18:20:47	4
2024-05-14	2024-05-14	TMCI	Treace Medical Concepts, Inc.	Treace John T.	CEO, 10%	P - Purchase	5.12	150000	11,567,224	+1%	+$767,805	768000	18:19:20	0
2024-05-14	2024-05-13	LENZ	Lenz Therapeutics, Inc.	McCollum James W	Dir	P - Purchase	15.99	31332	620,599	+5%	+$501,093	500998.68	17:29:43	1
2024-05-14	2024-05-14	AKAM	Akamai Technologies Inc	Leighton F Thomson	CEO	P - Purchase	92.68	22000	2,520,543	+1%	+$2,038,960	2038960	17:11:41	0
2024-05-14	2024-05-13	BGS	B&g Foods, Inc.	Sherrill Stephen	Dir	P - Purchase	8.59	125000	270,136	+86%	+$1,073,650	1073750	17:07:15	1
2024-05-14	2024-05-14	FOUR	Shift4 Payments, Inc.	Isaacman Jared	COB, CEO, 10%	P - Purchase	67.09	85916	582,827	+17%	+$5,764,465	5764104.44	17:00:13	0
2024-05-14	2024-05-10	PSEC	Prospect Capital Corp	Barry John F	CEO, 10%	P - Purchase	5.48	798901	66,095,837	+1%	+$4,377,477	4377977.48	16:01:37	4
2024-05-14	2024-05-10	HQL	Abrdn Life Sciences Investors	Saba Capital Management, L.P.	10%	P - Purchase	13.86	57862	3,215,825	+2%	+$801,967	801967.32	13:50:01	4
