Filing.Date	Trade.Date	Ticker	Company Name	Insider.Name	Title	Trade.Type	Price	Qty	Owned	ΔOwn	Value	totalValue	Filing.Time	DaysToFile
2024-07-01	2024-06-27	TLYS	Tilly'S, Inc.	Fund 1 Investments, LLC	10%	P - Purchase	5.48	299559	7,977,704	+4%	+$1,643,041	1641583.32	17:09:27	4
2024-07-01	2024-06-28	DMAC	Diamedica Therapeutics Inc.	Von Koch Thomas	10%	P - Purchase	2.5	1200000	5,526,435	+28%	+$3,000,000	3e+06	16:27:16	3
2024-07-01	2024-06-28	DMAC	Diamedica Therapeutics Inc.	Stahlberg Jan	10%	P - Purchase	2.5	1200000	5,221,608	+30%	+$3,000,000	3e+06	16:24:38	3
2024-07-01	2024-06-27	PEO	Adams Natural Resources Fund, Inc.	Saba Capital Management, L.P.	10%	P - Purchase	23.53	28486	2,698,567	+1%	+$670,376	670275.58	16:07:10	4
2024-07-01	2024-06-27	ACRS	Aclaris Therapeutics, Inc.	Leonard Braden Michael	10%	P - Purchase	1.13	1543434	24,882,706	+7%	+$1,742,075	1744080.42	13:39:08	4
2024-07-01	2024-06-28	GSAT	Globalstar, Inc.	Monroe James III	Dir, 10%	P - Purchase	1.06	4510855	1,097,262,285	0%	+$4,800,001	4781506.3	10:30:12	3
2024-07-01	2024-06-27	TSHA	Taysha Gene Therapies, Inc.	Manning Paul B	10%	P - Purchase	2.25	1333333	24,851,111	+6%	+$2,999,999	2999999.25	08:00:07	4
2024-06-28	2024-06-26	AGAE	Allied Gaming & Entertainment Inc.	Choi Roy	10%	P - Purchase	1.28	608000	11,418,092	+6%	+$778,160	778240	21:08:15	2
2024-06-28	2024-06-28	TXO	Txo Partners, L.P.	Hutton Keith A	Pres  of Prod, Develop, 10%	P - Purchase	20	878000	4,000,215	+28%	+$17,560,000	17560000	18:39:55	0
2024-06-28	2024-06-28	TXO	Txo Partners, L.P.	Simpson Bob R	COB, CEO, 10%	P - Purchase	20	1e+05	4,500,000	+2%	+$2,000,000	2e+06	18:38:07	0
2024-06-28	2024-06-26	CTRN	Citi Trends Inc	Fund 1 Investments, LLC	10%	P - Purchase	21.4	61500	2,541,986	+2%	+$1,315,940	1316100	17:56:34	2
2024-06-28	2024-06-26	GAB.N	Gabelli Equity Trust Inc	Gabelli Mario J	Control Person of Adviser, 10%	P - Purchase	100	11750	71,750	+20%	+$1,175,000	1175000	16:26:35	2
2024-06-28	2024-06-27	AMSWA	American Software Inc	Miller James B Jr	Dir	P - Purchase	9	271518	416,151	+188%	+$2,443,499	2443662	14:36:34	1
2024-06-27	2024-06-25	RH	Rh	Friedman Gary G	COB, CEO, 10%	P - Purchase	216.1	46274	3,351,337	+1%	+$9,999,978	9999811.4	19:47:18	2
2024-06-27	2024-06-25	PBF	Pbf Energy Inc.	Control Empresarial De Capitales S.A. De C.V.	Add'l Rep. Persons-see Ex.99-1, 10%	P - Purchase	44.67	146000	17,453,598	+1%	+$6,521,107	6521820	18:11:44	2
2024-06-27	2024-06-25	TTSH	Tile Shop Holdings, Inc.	Fund 1 Investments, LLC	10%	P - Purchase	6.87	78956	8,089,301	+1%	+$542,298	542427.72	17:03:50	2
2024-06-27	2024-06-27	AUID	Authid Inc.	Garchik Stephen Jeffrey	10%	P - Purchase	7.5	150000	1,446,391	+12%	+$1,125,000	1125000	16:30:14	0
2024-06-27	2024-06-26	AESI	Atlas Energy Solutions Inc.	Shepard Gregory M	Member of 10% Owner Group	P - Purchase	19.64	40872	7,445,069	+1%	+$802,726	802726.08	15:19:02	1
2024-06-27	2024-06-26	VCRDX	Versus Capital Infrastructure Income Fund	Versus Capital Advisors LLC	Investment Adviser, 10%	P - Purchase	10.24	2441406	5,451,007	+81%	+$25,000,000	24999997.44	14:21:20	1
2024-06-27	2024-06-25	PEO	Adams Natural Resources Fund, Inc.	Saba Capital Management, L.P.	10%	P - Purchase	23.34	33097	2,670,081	+1%	+$772,612	772483.98	14:04:33	2
2024-06-26	2024-06-24	CLIR	Clearsign Technologies Corp	Hoffman Robert Thurston Sr	10%	P - Purchase	0.91	3350000	9,887,840	+51%	+$3,048,500	3048500	20:04:00	2
2024-06-26	2024-06-25	NUVB	Nuvation Bio Inc.	Cui Xiangmin	Dir	P - Purchase	2.97	277895	6,950,239	+4%	+$825,348	825348.15	16:31:59	1
