X	Filing Date	Trade Date	Ticker	Company Name	Insider Name	Title	Trade Type	Price	Qty	Owned	ΔOwn	Value	1d	1w	1m	6m
A	2024-11-14 20:49:01	2024-11-14	JEF	Jefferies Financial Group Inc.	Steinberg Joseph S	COB, 10%	P - Purchase	$74.50	+100	20,697,182	0%	+$7,450				
M	2024-11-14 20:00:06	2024-11-13	PODC	Podcastone, Inc.	Ellin Robert S	Exec COB	P - Purchase	$1.69	+15,367	1,010,781	+2%	+$26,007				
D	2024-11-14 19:35:22	2024-11-14	WSC	Willscot Holdings Corp	Soultz Bradley Lee	CEO	P - Purchase	$35.41	+5,000	725,287	+1%	+$177,037				
M	2024-11-14 19:33:45	2024-11-12	BH	Biglari Holdings Inc.	Biglari, Sardar	COB, CEO, 10%	P - Purchase	$316.87	+18,215	1,515,108	+1%	+$5,771,814				
M	2024-11-14 19:14:14	2024-11-12	RXST	Rxsight, Inc.	Corley Jesse Anderson	Dir	P - Purchase	$45.14	+22,476	538,370	+4%	+$1,014,570				
	2024-11-14 18:46:15	2024-11-12	CION	Cion Investment Corp	Bresner Gregg A.	Pres, CIO	P - Purchase	$11.41	+2,000	59,599	+3%	+$22,820				
	2024-11-14 18:41:20	2024-11-13	CROX	Crocs, Inc.	Healy Susan L.	EVP, CFO	P - Purchase	$99.70	+1,000	22,652	+5%	+$99,702				
	2024-11-14 18:24:32	2024-11-12	NRDY	Nerdy Inc.	Cohn Charles K.	CEO, 10%	P - Purchase	$0.90	+8,338,206	44,254,500	+23%	+$7,476,003				
	2024-11-14 18:13:31	2024-11-13	TRUL	Trulieve Cannabis Corp.	Powers Eric	GC	P - Purchase	$6.10	+1,000	122,000	+1%	+$6,100				
	2024-11-14 18:10:49	2024-11-12	DCOM	Dime Community Bancshares, Inc. /ny/	Basswood Capital Management, L.L.C.	Director-by-Deputization	P - Purchase	$32.00	+29,000	2,063,984	+1%	+$928,000				
	2024-11-14 18:08:32	2024-11-14	COYA	Coya Therapeutics, Inc.	Snyder David S	CFO	P - Purchase	$7.19	+1,800	8,800	+26%	+$12,934				
M	2024-11-14 18:06:00	2024-11-08	TRUL	Trulieve Cannabis Corp.	Jhala Nilyum	CTO	P - Purchase	$6.28	+6,000	120,778	+5%	+$37,670				
	2024-11-14 17:51:36	2024-11-14	OPK	Opko Health, Inc.	Frost Phillip Md Et Al	CEO, COB, 10%	P - Purchase	$1.62	+100,000	245,308,533	0%	+$161,980				
M	2024-11-14 17:21:55	2024-11-12	AVTX	Avalo Therapeutics, Inc.	Almenoff June Sherie	Dir	P - Purchase	$12.75	+1,000	1,000	New	+$12,750				
	2024-11-14 17:15:44	2024-11-12	SATS	Echostar Corp	Ergen Charles W	COB, 10%	P - Purchase	$28.04	+1,551,355	16,042,800	+11%	+$43,499,994				
M	2024-11-14 17:11:07	2024-11-12	KLG	Wk Kellogg Co	Gund G Zachary	Dir	P - Purchase	$17.67	+195,000	591,857	+49%	+$3,445,488				
M	2024-11-14 17:05:06	2024-11-13	SCKT	Socket Mobile, Inc.	Bass Charlie	Dir, 10%	P - Purchase	$1.34	+10,000	1,541,651	+1%	+$13,437				
	2024-11-14 17:00:25	2024-11-13	FPMYX	Felicitas Private Markets Fund	Smith Brian P.	Pres	P - Purchase	$20.41	+2,450	2,450	New	+$50,000				
	2024-11-14 17:00:16	2024-11-13	PODC	Podcastone, Inc.	Merriman D Jonathan	Dir	P - Purchase	$1.64	+11,000	363,418	+3%	+$18,040				
M	2024-11-14 16:57:45	2024-11-12	HIMS	Hims & Hers Health, Inc.	Manuel Anja	Dir	P - Purchase	$26.45	+5,000	5,000	New	+$132,260				
	2024-11-14 16:42:33	2024-11-12	HTLD	Heartland Express Inc	Gerdin Michael J	CEO, 10%	P - Purchase	$11.99	+1,683	31,805,618	0%	+$20,179				
	2024-11-14 16:34:46	2024-11-12	SMRT	Smartrent, Inc.	Lee Kristen Morse	GC	P - Purchase	$1.48	+10,000	46,314	+28%	+$14,750				
	2024-11-14 16:34:43	2024-11-14	ENPH	Enphase Energy, Inc.	Kothandaraman Badrinarayanan	Pres, CEO	P - Purchase	$60.38	+5,000	1,640,572	0%	+$301,903				
	2024-11-14 16:32:08	2024-11-12	MRVI	Maravai Lifesciences Holdings, Inc.	Deford John A	Dir	P - Purchase	$5.75	+17,500	70,046	+33%	+$100,625				
D	2024-11-14 16:30:51	2024-11-13	VRME	Verifyme, Inc.	Stedham Adam H	CEO, Pres	P - Purchase	$0.95	+2,000	210,004	+1%	+$1,900				
M	2024-11-14 16:29:18	2024-11-12	NMFC	New Mountain Finance Corp	Klinsky Steven B	Dir	P - Purchase	$11.53	+152,353	9,295,491	+2%	+$1,756,141				
	2024-11-14 16:29:16	2024-11-13	NDAQ	Nasdaq, Inc.	Zollar Alfred W	Dir	P - Purchase	$80.24	+2,542	49,293	+5%	+$203,970				
	2024-11-14 16:27:58	2024-11-12	WEST	Westrock Coffee Co	Ford William A	GROUP Pres, OPERATIONS	P - Purchase	$7.54	+25,000	477,590	+6%	+$188,500				
	2024-11-14 16:26:52	2024-11-13	ARDX	Ardelyx, Inc.	Mott David M	Dir	P - Purchase	$4.62	+215,868	1,425,465	+18%	+$996,598				
M	2024-11-14 16:23:08	2024-11-13	HRZN	Horizon Technology Finance Corp	Savage Joseph J	Dir	P - Purchase	$9.28	+9,500	59,500	+19%	+$88,150				
	2024-11-14 16:17:01	2024-11-13	NAIFX	Nomura Alternative Income Fund	Rosa Katherine Quick	Trustee	P - Purchase	$10.04	+872	872	New	+$8,750				
	2024-11-14 16:15:49	2024-11-13	DHC	Diversified Healthcare Trust	Brown Matthew C.	CFO, Treasurer	P - Purchase	$2.55	+2,000	86,282	+2%	+$5,098				
	2024-11-14 16:15:40	2024-11-12	RXO	Rxo, Inc.	Nettles Michelle	Dir	P - Purchase	$27.89	+1,800	15,185	+13%	+$50,202				
	2024-11-14 16:15:15	2024-11-12	DRIO	Dariohealth Corp.	Nelson Steven Charles	Chief Commercial Officer	P - Purchase	$0.91	+5,000	55,000	+10%	+$4,546				
M	2024-11-14 16:15:11	2024-11-12	CLAR	Clarus Corp	Sokolow Nicolas	Dir	P - Purchase	$4.43	+100,000	1,240,796	+9%	+$442,500				
	2024-11-14 16:13:43	2024-11-12	WEST	Westrock Coffee Co	Ford Joe T	Dir	P - Purchase	$7.55	+7,000	3,906,421	0%	+$52,880				
	2024-11-14 16:05:10	2024-11-12	LYFT	Lyft, Inc.	Risher John David	CEO	P - Purchase	$18.15	+13,790	12,112,796	0%	+$250,272				
	2024-11-14 16:03:59	2024-11-14	CSBB	Csb Bancorp, Inc.	Baker Robert K	Dir	P - Purchase	$39.00	+600	42,171	+1%	+$23,400				
	2024-11-14 16:01:09	2024-11-12	PSEC	Prospect Capital Corp	Van Dask Kristin Lea	CFO, TREASURER, SECRETARY, CCO	P - Purchase	$4.29	+15,200	106,646	+17%	+$65,208				
	2024-11-14 16:01:07	2024-11-13	SEDG	Solaredge Technologies, Inc.	Gani Marcel	Dir	P - Purchase	$11.43	+20,000	53,035	+61%	+$228,648				
	2024-11-14 16:00:14	2024-11-13	KVYO	Klaviyo, Inc.	Fagnan Jeff	10%	P - Purchase	$37.14	+13,515	49,764	+37%	+$501,921				
D	2024-11-14 15:40:14	2024-11-08	HFBL	Home Federal Bancorp, Inc. of Louisiana	Barlow James R	COB, Pres, CEO***	P - Purchase	$29.00	+249	184,534	0%	+$7,217				
	2024-11-14 15:40:07	2024-11-12	HQI	Hirequest, Inc.	Hagenbuch Lawrence F	Dir	P - Purchase	$14.53	+1,200	109,473	+1%	+$17,441				
	2024-11-14 15:06:29	2024-11-12	NOVA	Sunnova Energy International Inc.	Robertson Corbin J III	Dir	P - Purchase	$3.32	+85,048	85,048	New	+$282,266				
	2024-11-14 14:35:02	2024-11-14	SHEN	Shenandoah Telecommunications Co/va/	McKay Edward H	EVP, COO	P - Purchase	$12.67	+1,000	75,369	+1%	+$12,673				
	2024-11-14 14:06:30	2024-11-13	RVP	Retractable Technologies Inc	Shaw Thomas J	Pres, CEO, 10%	P - Purchase	$0.70	+7,736	15,675,964	0%	+$5,423				
	2024-11-14 13:34:47	2024-11-14	ASA	Asa Gold & Precious Metals Ltd	Hoene Mary Joan	Dir	P - Purchase	$19.68	+380	7,478	+5%	+$7,478				
M	2024-11-14 13:30:27	2024-11-12	ENX	Eaton Vance New York Municipal Bond Fund	Saba Capital Management, L.P.	10%	P - Purchase	$9.66	+22,859	3,117,317	+1%	+$220,712				
M	2024-11-14 13:04:20	2024-11-12	BIGZ	Blackrock Innovation & Growth Term Trust	Saba Capital Management, L.P.	10%	P - Purchase	$7.77	+199,373	57,617,107	0%	+$1,549,650				
M	2024-11-14 12:52:12	2024-11-12	EVM	Eaton Vance California Municipal Bond Fund	Saba Capital Management, L.P.	10%	P - Purchase	$9.33	+65,458	3,264,291	+2%	+$610,409				
	2024-11-14 12:37:43	2024-11-12	MIO	Pioneer Municipal High Income Opportunities Fund, Inc.	Saba Capital Management, L.P.	10%	P - Purchase	$12.15	+10,476	1,862,971	+1%	+$127,283				
	2024-11-14 12:35:25	2024-11-12	MAV	Pioneer Municipal High Income Advantage Fund, Inc.	Saba Capital Management, L.P.	10%	P - Purchase	$8.65	+6,843	3,359,978	0%	+$59,192				
	2024-11-14 12:04:20	2024-11-12	MHI	Pioneer Municipal High Income Fund, Inc.	Saba Capital Management, L.P.	10%	P - Purchase	$9.43	+17,030	3,686,935	0%	+$160,593				
	2024-11-14 11:54:37	2024-11-13	TPL	Texas Pacific Land Corp	Stahl Murray	Dir	P - Purchase	$1,405.98	+12	1,138,433	0%	+$16,872				
	2024-11-14 10:23:35	2024-11-13	RCG	Renn Fund, Inc.	Stahl Murray	Pres, CEO	P - Purchase	$2.33	+1,226	667,219	0%	+$2,857				
	2024-11-14 09:00:23	2024-11-12	GMGI	Golden Matrix Group, Inc.	Milovanovic Aleksandar	Member of 10% Reporting Group, 10%	P - Purchase	$2.69	+1,499	77,533,507	0%	+$4,032				
	2024-11-14 08:58:16	2024-11-13	TPIC	Tpi Composites, Inc	Siwek William E	Pres, CEO	P - Purchase	$2.19	+10,000	218,347	+5%	+$21,900				
	2024-11-14 08:53:01	2024-11-12	TPIC	Tpi Composites, Inc	Miller Ryan D.	CFO	P - Purchase	$2.24	+10,000	32,239	+45%	+$22,400				
M	2024-11-14 08:26:18	2024-11-12	DGICA	Donegal Group Inc	Donegal Mutual Insurance Co	10%	P - Purchase	$15.93	+16,500	17,286,338	0%	+$262,906				
	2024-11-13 21:30:01	2024-11-12	TDUP	Thredup Inc.	Nova Daniel J	Dir	P - Purchase	$0.99	+8,921	203,984	+5%	+$8,815				
M	2024-11-13 21:13:46	2024-11-11	OSCR	Oscar Health, Inc.	Kushner Joshua	Co-Founder, Vice COB, 10%	P - Purchase	$13.67	+1,055,478	5,810,700	+22%	+$14,429,982				
M	2024-11-13 21:11:27	2024-11-11	OSCR	Oscar Health, Inc.	Thrive Partners VII Growth Gp, LLC	Dir, 10%	P - Purchase	$13.67	+1,055,478	5,810,700	+22%	+$14,429,982				
M	2024-11-13 20:31:39	2024-11-08	LMND	Lemonade, Inc.	Angelidis-Smith Maria	Dir	P - Purchase	$30.02	+33,554	40,916	+456%	+$1,007,445				
	2024-11-13 20:00:07	2024-11-13	LTRX	Lantronix Inc	Awsare Saleel	Pres, CEO	P - Purchase	$2.66	+80,000	233,184	+52%	+$212,960				
M	2024-11-13 18:45:26	2024-11-08	LGF	Lions Gate Entertainment Corp /cn/	Liberty 77 Capital L.P.	10%	P - Purchase	$7.08	+1,209,382	20,216,064	+6%	+$8,556,664				
	2024-11-13 18:36:49	2024-11-08	TRUL	Trulieve Cannabis Corp.	Zhang Marie	COO	P - Purchase	$7.19	+21,300	58,800	+57%	+$153,147				
	2024-11-13 18:30:35	2024-11-11	TRS	Trimas Corp	Tredwell Daniel P	Dir	P - Purchase	$27.51	+79	58,513	0%	+$2,175				
	2024-11-13 18:24:47	2024-11-11	TRUL	Trulieve Cannabis Corp.	Landrum Kyle	Chief Production Officer	P - Purchase	$6.50	+3,800	134,618	+3%	+$24,698				
M	2024-11-13 18:21:17	2024-11-11	SNBR	Sleep Number Corp	Stadium Capital Management LLC	10%	P - Purchase	$14.34	+77,185	2,573,319	+3%	+$1,107,192				
D	2024-11-13 18:07:20	2024-11-13	CNC	Centene Corp	Asher Andrew Lynn	CFO	P - Purchase	$58.14	+17,200	486,847	+4%	+$1,000,008				
	2024-11-13 18:01:28	2024-11-13	FF	Futurefuel Corp.	Polet Roeland	CEO	P - Purchase	$5.11	+10,000	10,000	New	+$51,100				
	2024-11-13 17:48:19	2024-11-13	BGS	B&g Foods, Inc.	Vogel Andrew D	EVP, Pres OF MEALS	P - Purchase	$6.36	+7,500	37,064	+25%	+$47,700				
M	2024-11-13 17:41:40	2024-11-11	UAN	Cvr Partners, LP	Icahn Carl C	10%	P - Purchase	$71.55	+27,332	3,974,884	+1%	+$1,955,650				
	2024-11-13 17:36:42	2024-11-11	BIRD	Allbirds, Inc.	Mitchell Ann	CFO	P - Purchase	$8.16	+600	62,477	+1%	+$4,896				
	2024-11-13 17:27:03	2024-11-08	OPCH	Option Care Health, Inc.	Kraemer Harry M Jansen Jr	Dir	P - Purchase	$22.54	+43,000	326,334	+15%	+$969,031				
	2024-11-13 17:06:05	2024-11-13	THAR	Tharimmune, Inc.	Appajosyula Sireesh	COO	P - Purchase	$2.02	+5,000	13,372	+60%	+$10,096				
	2024-11-13 17:00:07	2024-11-08	TYRA	Tyra Biosciences, Inc.	Ra Capital Management, L.P.	Dir, 10%	P - Purchase	$16.25	+1,220,681	10,637,290	+13%	+$19,836,066				
	2024-11-13 16:44:45	2024-11-08	HLF	Herbalife Ltd.	Mendoza Juan Miguel	Dir	P - Purchase	$8.49	+2,500	127,500	+2%	+$21,225				
	2024-11-13 16:41:55	2024-11-08	ARDT	Ardent Health Partners, Inc.	Webb Robert Thomas	Dir	P - Purchase	$16.98	+20,000	40,275	+99%	+$339,600				
	2024-11-13 16:41:43	2024-11-12	ALTO	Alto Ingredients, Inc.	McGregor Bryon T	Pres, CEO	P - Purchase	$1.36	+37,000	834,265	+5%	+$50,424				
	2024-11-13 16:41:38	2024-11-12	XRAY	Dentsply Sirona Inc.	Campion Simon D	Pres, CEO, Member of BOD	P - Purchase	$17.72	+11,306	272,247	+4%	+$200,341				
	2024-11-13 16:37:33	2024-11-12	ALTO	Alto Ingredients, Inc.	Olander Robert R.	CFO	P - Purchase	$1.36	+7,350	225,056	+3%	+$9,959				
D	2024-11-13 16:31:06	2024-11-11	HLNE	Hamilton Lane Inc	Delgado-Moreira Juan	Co-CEO, 10%	P - Purchase	$201.81	+525	1,286,791	0%	+$105,950				
D	2024-11-13 16:30:55	2024-11-13	NB	Niocorp Developments Ltd	Smith Mark A.	Pres, CEO	P - Purchase	$0.00	+183,422	2,272,018	+9%	+$0				
D	2024-11-13 16:30:19	2024-11-13	NB	Niocorp Developments Ltd	Kehler Dean C	Dir	P - Purchase	$0.00	+56,577	134,580	+73%	+$0				
	2024-11-13 16:30:10	2024-11-12	LTRX	Lantronix Inc	Brace Philip G	Dir	P - Purchase	$2.65	+20,000	88,178	+29%	+$52,920				
	2024-11-13 16:21:08	2024-11-11	SWIM	Latham Group, Inc.	Gloe Oliver C.	CFO	P - Purchase	$5.73	+9,000	291,706	+3%	+$51,570				
	2024-11-13 16:07:14	2024-11-08	ZOM	Zomedica Corp.	Blair Anthony K	COO	P - Purchase	$0.12	+150,000	400,000	+60%	+$18,450				
	2024-11-13 16:05:37	2024-11-13	IBM	International Business Machines Corp	Zollar Alfred W	Dir	P - Purchase	$210.62	+936	936	New	+$197,139				
	2024-11-13 16:05:25	2024-11-08	FREY	Freyr Battery, Inc. /De/	Calio Joseph Evan	CFO	P - Purchase	$1.91	+130,600	130,600	New	+$249,446				
	2024-11-13 16:05:16	2024-11-13	COYA	Coya Therapeutics, Inc.	Swaminathan Arun	CEO	P - Purchase	$7.36	+5,000	10,000	+100%	+$36,797				
M	2024-11-13 16:02:20	2024-11-11	PBF	Pbf Energy Inc.	Control Empresarial De Capitales S.A. De C.V.	Add'l Rep. Persons-see Ex.99-1, 10%	P - Purchase	$30.04	+80,000	26,277,498	0%	+$2,402,828				
D	2024-11-13 15:49:37	2024-11-08	LCGMF	Lion Copper & Gold Corp.	Alford Tony L	Dir, 10%	P - Purchase	$0.05	+14,000,000	142,411,685	+11%	+$630,000				
M	2024-11-13 15:44:12	2024-11-08	NVRI	Enviri Corp	Vadaketh Tom George	SVP, CFO	P - Purchase	$7.00	+35,299	81,120	+77%	+$246,938				
	2024-11-13 15:40:45	2024-11-12	CBKM	Consumers Bancorp Inc /oh/	McClellan Laurie L	Dir	P - Purchase	$18.95	+195	144,841	0%	+$3,695				
	2024-11-13 15:06:16	2024-11-11	SEDG	Solaredge Technologies, Inc.	Avery More	Chairman of the Board	P - Purchase	$13.65	+156,000	244,478	+176%	+$2,129,400				
	2024-11-13 14:50:03	2024-11-13	GRNT	Granite Ridge Resources, Inc.	Farquharson Tyler	CFO	P - Purchase	$6.55	+5,000	86,723	+6%	+$32,750				
	2024-11-13 14:13:22	2024-11-12	IMUX	Immunic, Inc.	Rudick Richard Alan	Dir	P - Purchase	$1.15	+87,300	87,300	New	+$100,369				
	2024-11-13 12:56:28	2024-11-13	EXAS	Exact Sciences Corp	Conroy Kevin T	Pres, CEO	P - Purchase	$51.35	+19,500	1,414,311	+1%	+$1,001,325				
	2024-11-13 12:14:41	2024-11-12	CCFN	Muncy Columbia Financial Corp	Weinhoffer Kevin	EVP, Chief Commercial Officer	P - Purchase	$33.76	+144	6,389	+2%	+$4,862				
	2024-11-13 12:09:31	2024-11-08	CCFN	Muncy Columbia Financial Corp	Arthur Todd M	Dir	P - Purchase	$34.58	+300	25,340	+1%	+$10,375				
	2024-11-13 11:47:13	2024-11-12	CION	Cion Investment Corp	Arestia Charlie	See Remarks	P - Purchase	$11.39	+750	1,213	+162%	+$8,543				
	2024-11-13 11:44:40	2024-11-12	ALNT	Allient Inc	Tzetzo Nicole R	Dir	P - Purchase	$23.38	+427	11,378	+4%	+$9,983				
	2024-11-13 11:29:07	2024-11-12	TPL	Texas Pacific Land Corp	Stahl Murray	Dir	P - Purchase	$1,403.22	+12	1,138,421	0%	+$16,839				
	2024-11-13 11:24:39	2024-11-12	RCG	Renn Fund, Inc.	Stahl Murray	Pres, CEO	P - Purchase	$2.32	+1,226	665,993	0%	+$2,844				
M	2024-11-13 11:13:18	2024-11-11	KVHI	Kvh Industries Inc de	Radoff Bradley Louis	10%	P - Purchase	$4.79	+50,000	2,435,000	+2%	+$239,715				
	2024-11-13 10:02:45	2024-11-12	RVP	Retractable Technologies Inc	Shaw Thomas J	Pres, CEO, 10%	P - Purchase	$0.71	+11,477	15,668,228	0%	+$8,151				
	2024-11-13 08:46:59	2024-11-08	VANI	Vivani Medical, Inc.	Williams Gregg	Dir, 10%	P - Purchase	$1.26	+3,968,253	18,373,169	+28%	+$4,999,999				
M	2024-11-13 08:00:04	2024-11-11	ADV	Advantage Solutions Inc.	Peacock David A	CEO	P - Purchase	$3.30	+35,000	2,370,396	+1%	+$115,480				
	2024-11-13 06:00:07	2024-11-11	GNL	Global Net Lease, Inc.	Schorsch Nicholas S	10%	P - Purchase	$7.72	+100,000	29,388,012	0%	+$772,000				
M	2024-11-12 21:15:38	2024-11-07	CPNG	Coupang, Inc.	Greenoaks Capital Partners LLC	See Remarks	P - Purchase	$24.28	+2,250,199	52,994,063	+4%	+$54,632,027				
	2024-11-12 20:52:29	2024-11-11	DC	Dakota Gold Corp.	Aberle Gerald Michael	COO	P - Purchase	$2.28	+6,456	4,352,519	0%	+$14,720				
	2024-11-12 18:08:04	2024-11-07	MODV	Modivcare Inc	Q Global Capital Management, L.P.	10%	P - Purchase	$17.13	+58,191	1,812,725	+3%	+$997,053				
M	2024-11-12 18:05:17	2024-11-08	TTSH	Tile Shop Holdings, Inc.	Fund 1 Investments, LLC	10%	P - Purchase	$6.98	+100,000	9,352,676	+1%	+$698,211				
	2024-11-12 18:03:34	2024-11-11	COYA	Coya Therapeutics, Inc.	Grossman Fred	Chief Medical Officer	P - Purchase	$7.37	+2,710	2,710	New	+$19,973				
M	2024-11-12 18:01:32	2024-11-07	BBGI	Beasley Broadcast Group Inc	Beasley Brian E	COO, 10%	P - Purchase	$9.08	+350	24,854	+1%	+$3,177				
	2024-11-12 17:57:47	2024-11-11	MSDL	Morgan Stanley Direct Lending Fund	Frank Bruce D	Dir	P - Purchase	$20.50	+420	3,695	+13%	+$8,608				
	2024-11-12 17:57:39	2024-11-07	BBGI	Beasley Broadcast Group Inc	Beasley Caroline	CEO, 10%	P - Purchase	$9.98	+1,000	30,790	+3%	+$9,980				
	2024-11-12 17:54:52	2024-11-12	QRHC	Quest Resource Holding Corp	Hatch S. Ray	Pres, CEO	P - Purchase	$7.17	+2,817	129,516	+2%	+$20,189				
M	2024-11-12 17:14:12	2024-11-08	EHAB	Enhabit, Inc.	Bolton Jeffrey	Dir	P - Purchase	$7.72	+10,000	94,144	+12%	+$77,177				
M	2024-11-12 17:10:17	2024-11-11	ROK	Rockwell Automation, Inc	Rothe Christian E	SVP, CFO	P - Purchase	$275.11	+7,273	7,273	New	+$2,000,904				
	2024-11-12 16:59:43	2024-11-11	MRVI	Maravai Lifesciences Holdings, Inc.	Hull Carl	See Remarks	P - Purchase	$5.64	+175,000	477,072	+58%	+$987,000				
	2024-11-12 16:59:37	2024-11-08	AOMR	Angel Oak Mortgage Reit, Inc.	Minami W D	Dir	P - Purchase	$9.73	+5,000	45,259	+12%	+$48,650				
	2024-11-12 16:59:18	2024-11-08	CVGI	Commercial Vehicle Group, Inc.	Rancourt Wayne M	Dir	P - Purchase	$2.58	+15,000	157,783	+11%	+$38,700				
	2024-11-12 16:58:37	2024-11-11	COYA	Coya Therapeutics, Inc.	Swaminathan Arun	CEO	P - Purchase	$7.34	+5,000	5,000	New	+$36,689				
	2024-11-12 16:53:59	2024-11-12	ULBI	Ultralife Corp	Robert W. Shaw	Dir	P - Purchase	$7.91	+2,500	65,250	+4%	+$19,775				
M	2024-11-12 16:52:01	2024-11-08	SCKT	Socket Mobile, Inc.	Bass Charlie	Dir, 10%	P - Purchase	$1.18	+15,000	1,531,651	+1%	+$17,673				
D	2024-11-12 16:49:08	2024-11-11	HASI	Ha Sustainable Infrastructure Capital, Inc.	Pangburn Marc T.	CFO	P - Purchase	$28.71	+3,500	56,791	+7%	+$100,485				
M	2024-11-12 16:44:28	2024-11-08	FBK	Fb Financial Corp	Ayers James W.	10%	P - Purchase	$56.18	+3,000	10,909,841	0%	+$168,550				
	2024-11-12 16:37:21	2024-11-08	CSBB	Csb Bancorp, Inc.	Kirkbride Cheryl M	Dir	P - Purchase	$38.51	+250	3,884	+7%	+$9,628				
	2024-11-12 16:33:27	2024-11-08	AVNW	Aviat Networks, Inc.	Klein Michele	Dir	P - Purchase	$13.95	+1,400	22,561	+7%	+$19,530				
	2024-11-12 16:32:59	2024-11-08	AVNW	Aviat Networks, Inc.	Connaway Michael	SVP, CFO	P - Purchase	$14.13	+3,500	57,893	+6%	+$49,455				
	2024-11-12 16:32:23	2024-11-08	AVNW	Aviat Networks, Inc.	Smith Pete A	Pres, CEO	P - Purchase	$14.13	+3,000	298,539	+1%	+$42,390				
	2024-11-12 16:21:46	2024-11-11	BARK	Bark, Inc.	Meeker Matt	Exec COB	P - Purchase	$1.52	+34,000	10,734,460	0%	+$51,806				
	2024-11-12 16:20:52	2024-11-11	APPS	Digital Turbine, Inc.	Deutschman Robert M	Dir	P - Purchase	$1.41	+100,000	889,484	+13%	+$141,000				
	2024-11-12 16:19:40	2024-11-08	OLPX	Olaplex Holdings, Inc.	Baldwin Amanda	CEO	P - Purchase	$1.73	+43,000	3,205,055	+1%	+$74,390				
	2024-11-12 16:19:05	2024-11-08	CVGI	Commercial Vehicle Group, Inc.	Nauman J Michael	Dir	P - Purchase	$2.50	+100	60,835	0%	+$250				
	2024-11-12 16:17:58	2024-11-11	HRTG	Heritage Insurance Holdings, Inc.	Garateix Ernie J	CEO	P - Purchase	$12.53	+3,950	1,076,534	0%	+$49,494				
	2024-11-12 16:15:59	2024-11-08	HSII	Heidrick & Struggles International Inc	Monahan Thomas L	CEO	P - Purchase	$47.39	+5,000	139,834	+4%	+$236,950				
	2024-11-12 16:10:54	2024-11-08	CVGI	Commercial Vehicle Group, Inc.	Griffin Robert C	Dir	P - Purchase	$2.49	+5,000	250,481	+2%	+$12,450				
	2024-11-12 16:10:42	2024-11-08	CSBB	Csb Bancorp, Inc.	Coblentz Julian L	Dir	P - Purchase	$38.50	+200	18,456	+1%	+$7,700				
	2024-11-12 16:10:30	2024-11-08	HPK	Highpeak Energy, Inc.	Hightower Jack	CEO, 10%	P - Purchase	$14.03	+17,262	86,217,907	0%	+$242,186				
	2024-11-12 16:07:14	2024-11-08	FANG	Diamondback Energy, Inc.	Reeves Robert K	Dir	P - Purchase	$180.00	+2,832	3,667	+339%	+$509,760				
	2024-11-12 16:07:09	2024-11-12	IROQ	If Bancorp, Inc.	Chamberlain Thomas J	SEVP, CLO	P - Purchase	$21.00	+553	67,386	+1%	+$11,613				
	2024-11-12 16:06:10	2024-11-11	SABR	Sabre Corp	Mandel Gail	Dir	P - Purchase	$3.63	+10,000	152,778	+7%	+$36,287				
M	2024-11-12 16:05:14	2024-11-08	NMFC	New Mountain Finance Corp	Klinsky Steven B	Dir	P - Purchase	$11.30	+191,636	9,193,922	+2%	+$2,165,310				
	2024-11-12 16:04:18	2024-11-11	WBD	Warner Bros. Discovery, Inc.	Zeiler Gerhard	Pres, International	P - Purchase	$9.24	+58,000	966,130	+6%	+$535,920				
AM	2024-11-12 15:46:00	2024-10-15	LGMK	Logicmark, Inc.	Winvest Investment Fund Management Corp.	10%	P - Purchase	$0.09	+1,257,257	4,074,587	+45%	+$114,112				
	2024-11-12 15:41:01	2024-11-12	DBD	Diebold Nixdorf, Inc	Baur Frank Tobias	EVP of Operational Excellence	P - Purchase	$41.42	+5,310	29,572	+22%	+$219,966				
	2024-11-12 15:40:49	2024-11-12	DBD	Diebold Nixdorf, Inc	Timko Thomas S	EVP, CFO	P - Purchase	$40.75	+360	48,579	+1%	+$14,670				
	2024-11-12 15:40:37	2024-11-12	DBD	Diebold Nixdorf, Inc	Marquez Octavio	Pres, CEO	P - Purchase	$40.84	+1,690	137,464	+1%	+$69,019				
	2024-11-12 15:15:11	2024-11-07	CCFN	Muncy Columbia Financial Corp	Arthur Todd M	Dir	P - Purchase	$35.50	+1,000	25,066	+4%	+$35,500				
DM	2024-11-12 14:32:46	2024-11-08	PVBC	Provident Bancorp, Inc. /Md/	Pollack Dennis	Dir	P - Purchase	$11.47	+10,000	47,721	+27%	+$114,700				
	2024-11-12 13:33:11	2024-11-06	THFF	First Financial Corp /in/	Jensen Susan M	Dir	P - Purchase	$49.93	+68	1,853	+4%	+$3,395				
M	2024-11-12 13:21:18	2024-11-08	GDOT	Green Dot Corp	Topline Capital Management, LLC	See Explanation in Footnotes	P - Purchase	$10.89	+178,302	6,335,967	+3%	+$1,941,125				
M	2024-11-12 12:59:06	2024-11-08	GDOT	Green Dot Corp	Topline Capital Partners, LP	10%	P - Purchase	$10.89	+178,302	6,335,967	+3%	+$1,941,125				
M	2024-11-12 12:03:42	2024-11-08	RCG	Renn Fund, Inc.	Stahl Murray	Pres, CEO	P - Purchase	$2.32	+2,442	664,767	0%	+$5,653				
M	2024-11-12 12:02:55	2024-11-08	TPL	Texas Pacific Land Corp	Stahl Murray	Dir	P - Purchase	$1,364.38	+24	1,138,409	0%	+$32,745				
